Product_Number,Image_URL
466386,https://www.ikea.com/kr/ko/images/products/tullstorp-cabinet-beige__1029439_pe835821_s5.jpg?f=s
69161509,https://www.ikea.com/kr/ko/images/products/lixhult-storage-combination-white-white__0644356_pe702622_s5.jpg?f=s
70466383,https://www.ikea.com/kr/ko/images/products/tullstorp-cabinet-beige__1029443_pe835825_s5.jpg?f=s
19187333,https://www.ikea.com/kr/ko/images/products/besta-storage-combination-w-doors-drawers-white-selsviken-high-gloss-white__0349580_pe538401_s5.jpg?f=s
19435837,https://www.ikea.com/kr/ko/images/products/besta-storage-combination-with-doors-black-brown-bjoerkoeviken-brown-stained-oak-veneer__0994389_pe821065_s5.jpg?f=s
60415469,https://www.ikea.com/kr/ko/images/products/lommarp-cabinet-dark-blue-green__0739327_pe741692_s5.jpg?f=s
29441263,https://www.ikea.com/kr/ko/images/products/besta-wall-mounted-cabinet-combination-white-moertviken-white__1001081_pe824380_s5.jpg?f=s
90473783,https://www.ikea.com/kr/ko/images/products/idasen-shelving-unit-beige__1020163_pe831815_s5.jpg?f=s
10328672,https://www.ikea.com/kr/ko/images/products/lixhult-cabinet-metal-white__0644358_pe702623_s5.jpg?f=s
9441594,https://www.ikea.com/kr/ko/images/products/besta-shelf-unit-with-door-white-hedeviken-oak-veneer__1001066_pe824365_s5.jpg?f=s
69387990,https://www.ikea.com/kr/ko/images/products/platsa-wardrobe-w-6-doors-white-fonnes-white__0908347_pe783237_s5.jpg?f=s
39287384,https://www.ikea.com/kr/ko/images/products/billy-morliden-bookcase-with-glass-door-white-stained-oak-veneer-glass__0667928_pe714174_s5.jpg?f=s
39408244,https://www.ikea.com/kr/ko/images/products/hauga-storage-combination-beige__0950817_pe800724_s5.jpg?f=s
70351891,https://www.ikea.com/kr/ko/images/products/kallax-shelving-unit-black-brown__0644754_pe702938_s5.jpg?f=s
9441570,https://www.ikea.com/kr/ko/images/products/besta-wall-mounted-cabinet-combination-white-kallviken-light-grey__1001067_pe824371_s5.jpg?f=s
29184485,https://www.ikea.com/kr/ko/images/products/billy-oxberg-bookcase-brown-ash-veneer__0641254_pe700389_s5.jpg?f=s
79395777,https://www.ikea.com/kr/ko/images/products/ivar-cabinet-with-doors-pine-grey-mesh__0936519_pe793287_s5.jpg?f=s
99248375,https://www.ikea.com/kr/ko/images/products/ivar-3-sections-shelves-pine__0106607_pe254883_s5.jpg?f=s
10452299,https://www.ikea.com/kr/ko/images/products/hemnes-glass-door-cabinet-with-3-drawers-black-brown-light-brown__0806986_pe770200_s5.jpg?f=s
9281802,https://www.ikea.com/kr/ko/images/products/billy-oxberg-bookcase-with-glass-doors-white-stained-oak-veneer__0668515_pe714547_s5.jpg?f=s
99277344,https://www.ikea.com/kr/ko/images/products/platsa-chest-of-2-drawers-white-fonnes-white__0614456_pe686910_s5.jpg?f=s
50214999,https://www.ikea.com/kr/ko/images/products/ivar-cabinet-pine__21439_pe106384_s5.jpg?f=s
79418892,https://www.ikea.com/kr/ko/images/products/besta-storage-combination-with-doors-black-brown-lappviken-stubbarp-black-brown__0979773_pe814688_s5.jpg?f=s
49275111,https://www.ikea.com/kr/ko/images/products/havsta-glass-door-cabinet-with-plinth-white-clear-glass__0720097_pe732409_s5.jpg?f=s
9287371,https://www.ikea.com/kr/ko/images/products/billy-morliden-bookcase-with-glass-doors-white-glass__0687383_pe722068_s5.jpg?f=s
29442069,https://www.ikea.com/kr/ko/images/products/besta-shelf-unit-with-doors-white-lappviken-white__1011679_pe828531_s5.jpg?f=s
10320732,https://www.ikea.com/kr/ko/images/products/idasen-high-cabinet-with-drawer-and-doors-beige__0613651_pe686440_s5.jpg?f=s
79277359,https://www.ikea.com/kr/ko/images/products/platsa-chest-of-3-drawers-white-fonnes-white__0614480_pe686920_s5.jpg?f=s
59047430,https://www.ikea.com/kr/ko/images/products/besta-shelf-unit-with-doors-white-lappviken-white__0352997_pe537135_s5.jpg?f=s
79388357,https://www.ikea.com/kr/ko/images/products/lixhult-storage-combination-anthracite-blue__0914592_pe784150_s5.jpg?f=s
9285777,https://www.ikea.com/kr/ko/images/products/galant-storage-combination-w-sliding-doors-white-stained-oak-veneer__0653056_pe707766_s5.jpg?f=s
9407203,https://www.ikea.com/kr/ko/images/products/besta-tv-storage-combination-glass-doors-white-stained-oak-effect-lappviken-white-stained-oak-eff-clear-glass__0643906_pe702245_s5.jpg?f=s
70494395,https://www.ikea.com/kr/ko/images/products/ivar-cabinet-with-sliding-doors-pine__1014059_pe829498_s5.jpg?f=s
